id,text,coordinates,retweeted,retweet_count,user.followers_count,user.statuses_count,user.friend_count,user.location,user.time_zone,created_at,fname
880773251684859904,Interested in a #job in #London? This could be a great fit: https://t.co/StTVKTp6tn #CustomerService #Hiring,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,335,33,,London,Eastern Time (US & Canada),2017-06-30 13:01:21,stream30Jun.csv
880773355644891136,Pleased to see an acknowledgement of the importance of supporting our dedicated public sector staff https://t.co/seAIrbzwna,,False,0,2798,11702,,"London, England",Pacific Time (US & Canada),2017-06-30 13:01:46,stream30Jun.csv
880773369414639616,"Want to work at First Data? We're #hiring in #Dublin, County Dublin! Click for details: https://t.co/5aNGxQL80e #BusinessMgmt #Job #Jobs","{'coordinates': [-6.2603097, 53.3498053], 'type': 'Point'}",False,0,332,17,,"Dublin, Ireland",Eastern Time (US & Canada),2017-06-30 13:01:49,stream30Jun.csv
880773713091624960,Join the LEGO Group team! See our latest #job opening here: https://t.co/hljeRbcIQa #LEGO #Retail #London #Hiring,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,2205,907,,,Atlantic Time (Canada),2017-06-30 13:03:11,stream30Jun.csv
880773784415985665,The staff in @Lush_Lincoln are the nicest I've come across 💕 thank you my lovelies!,,False,0,709,163,,"Lincoln, England",London,2017-06-30 13:03:28,stream30Jun.csv
880773842154672128,Want to work in #London? View our latest opening: https://t.co/Wco5anP21o #CEBCareers #Sales #Job #Jobs #Hiring,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,519,322,,Global Offices,Pacific Time (US & Canada),2017-06-30 13:03:42,stream30Jun.csv
880773958605430785,#Yorkshire #Jobs &amp; #Vacancy:  Accommodation Security Worker sought by @YMCADoncaster. More info&gt;… https://t.co/1zq2z5npo4,,False,0,3404,17661,,Yorkshire and The Humber,Pacific Time (US & Canada),2017-06-30 13:04:10,stream30Jun.csv
880774034211848192,We're #hiring! Read about our latest #job opening here: Networking Support Senior Analyst - English /... - https://t.co/8OlSXXbgMS #IT,"{'coordinates': [-6.2603097, 53.3498053], 'type': 'Point'}",False,0,492,29,,"Dublin, Ireland",Eastern Time (US & Canada),2017-06-30 13:04:28,stream30Jun.csv
880774397363093505,Check out our beautiful vintage catering van! - just need some staff who'd love to work in Cannon Hill Pk - apply… https://t.co/yEWEakYYiw,,False,0,74939,26923,,"B12 9QH, Birmingham, UK",London,2017-06-30 13:05:54,stream30Jun.csv
880774414069096448,Our biggest investment has to be in the digital capabilities of our staff https://t.co/hbhoCg7JhH,,False,0,590,752,,"Sheffield, UK",,2017-06-30 13:05:58,stream30Jun.csv
880774479097548800,@PizzaExpress very slow service in Broughton. Maybe if you had more than 1 member of staff serving at lunchtime?,,False,0,122,1521,,Wrexham,,2017-06-30 13:06:14,stream30Jun.csv
880774709880606720,We're #hiring! Click to apply: R&amp;D Laboratory Science Internship – Greater London Innovation Centre... - https://t.co/g0PYKCg5Rw #Egham,"{'coordinates': [-0.547876, 51.428825], 'type': 'Point'}",False,0,338,46,,London,Eastern Time (US & Canada),2017-06-30 13:07:09,stream30Jun.csv
880774713328504834,Well done @helenmoneil1. Amazing work. All staff Bereavement Care. @palmer_carole @slpinch @JoyWharton1 https://t.co/MOvuhyNvjg,,False,0,919,6045,,barrow in furness,London,2017-06-30 13:07:10,stream30Jun.csv
880775096989761536,Want to work in #RomfordEssex? View our latest opening: https://t.co/yVaHvtleP9 #o2jobs #Retail #Job #Jobs #Hiring #CareerArc,"{'coordinates': [0.178319, 51.577076], 'type': 'Point'}",False,0,676,259,,"Slough, England",London,2017-06-30 13:08:41,stream30Jun.csv
880775459876851712,Staff enjoying their lunch break in the cosy corner of the happy van! #spreadthehappiness @NDNAtalk @ShonetteBason https://t.co/BZsUvOJZPx,,False,0,87,468,,,,2017-06-30 13:10:08,stream30Jun.csv
880775637291548672,We're #hiring! Read about our latest #job opening here: Sr.Maintenance Technician - https://t.co/08RD6kIoTd #FacilitiesMgmt #CareerArc,"{'coordinates': [-4.251806, 55.864237], 'type': 'Point'}",False,0,145,1,,Glasgow,Pacific Time (US & Canada),2017-06-30 13:10:50,stream30Jun.csv
880775985452302336,"Want to work in #Basingstoke, England? View our latest opening: https://t.co/NXLorWYcpV #IT #Job #Jobs #Hiring #CareerArc","{'coordinates': [-1.0923964, 51.26654], 'type': 'Point'}",False,0,557,71,,London,Eastern Time (US & Canada),2017-06-30 13:12:13,stream30Jun.csv
880776069447593986,At Castleford with the lovely staff and residents. Trying out our new compact sound system too! 🎵🎤 https://t.co/0zvRd9CX8i,,False,0,112,1021,,"Clitheroe, England",,2017-06-30 13:12:33,stream30Jun.csv
880776183658446849,Learners and staff from across our branches are getting their final walks for our 30 Million Steps Challenge! Healt… https://t.co/ZsU3CWrHc4,,False,0,6128,6109,,"HQ London, Branches UK wide",London,2017-06-30 13:13:00,stream30Jun.csv
880776783674658818,@AdmiralUK 2 of your staff have said to me the reason you're making poor progress with claims is 'cause of @HastingsDirect - mud throwing!,,False,0,301,1264,,"North East, England",Pacific Time (US & Canada),2017-06-30 13:15:23,stream30Jun.csv
880777232259530752,"We're #hiring! Click to apply: Senior Marketing Manager - Mother &amp; Child Care - https://t.co/3ttP5BM1eC #Guildford, England #Job #Jobs","{'coordinates': [-0.570409, 51.23622], 'type': 'Point'}",False,0,757,164,,London,Eastern Time (US & Canada),2017-06-30 13:17:10,stream30Jun.csv
